,Category,Links,Seasons
Andy Bernard,Main_Characters,"['Erin Hannon', 'Angela Martin', 'Unnamed Cousin', 'Walter Bernard Jr.', 'Walter Bernard Sr.', 'Ellen Bernard', 'Jim Halpert', 'Robert California', 'Michael Scott', 'Deangelo Vickers', 'Nellie Bertram', 'David Wallace', 'Angela Martin', 'Erin Hannon', 'Josh Porter', 'Jim Halpert', 'Ryan Howard', 'Nellie Bertram', 'Robert California', 'David Wallace', 'Erin Hannon', 'Michael Scott', 'Angela Martin', 'Gabe Lewis', 'Alice', 'Angela Martin', 'Dwight Schrute', 'Toby Flenderson', 'Cathy Simms', 'Stanley Hudson', 'Ryan Howard', 'Nellie Bertram', 'Jo Bennett', 'Nick', 'Robert California', 'Nellie Bertram', 'David Wallace', 'Michael Scott', 'Dwight Schrute', 'Jamie', 'Stanley Hudson', 'Angela Martin', 'Angela Martin', 'Garbage', 'Bob Vance', 'Deangelo Vickers', 'David Wallace', 'Pete Miller', 'Jan Levinson', 'Alice', 'Todd Packer', 'Carla Fern']","[3, 4, 5, 6, 7, 8, 9]"
Angela Martin,Main_Characters,"['Dwight Schrute', 'Robert Lipton', 'Andy Bernard', 'Phillip Schrute', 'Rachael Martin', 'Charles Miner', 'Phyllis Vance', 'Andy Bernard', 'Charles Miner', 'Sprinkles', 'Bandit', 'Garbage', 'Sprinkles', 'Robert Lipton', 'Erin Hannon', 'Pam Beesly']","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
Clark Green,Main_Characters,"['Pete Miller', 'Kelly Kapoor', 'David Wallace', 'Todd Packer']",[9]
Creed Bratton,Main_Characters,"['Creed Bratton', 'Michael Scott', 'Hannah Smoterich-Barr', 'Holly Flax', 'Toby Flenderson']","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
Darryl Philbin,Main_Characters,"['Kelly Kapoor', 'Val Johnson', 'Jada Philbin', 'Gwyneth Philbin', 'Michael Scott', 'Andy Bernard', 'Kelly Kapoor', 'Holly Flax', 'Jan Levinson', 'Bob Vance', 'Toby Flenderson', 'Andy Bernard', 'Andy Bernard']","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
Dwight Schrute,Main_Characters,"['Angela Martin', 'Esther Bruegger', 'Isabel Poreba', 'Jeb Schrute', 'Fannie Schrute', 'Mose Schrute', 'Aunt Shirley', 'Honk', 'Jim Halpert', 'Angela Martin', 'Todd Packer', 'Gareth Keenan', 'Michael Scott', 'Gareth Keenan', 'Jo Bennett', 'Andy Bernard', 'Robert California', 'Toby Flenderson', 'Todd Packer', 'Roy Anderson', 'Jim Halpert', 'Ryan Howard', 'Meredith Palmer', 'Toby Flenderson', 'Phyllis Vance', 'Kelly Kapoor', 'Todd Packer', 'Todd Packer', 'Todd Packer', 'David Wallace', 'Andy Bernard', 'Michael Scott', 'Ryan Howard', 'Andy Bernard', 'Erin Hannon', 'Angela Martin']","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
Erin Hannon,Main_Characters,"['Andy Bernard', 'Gabe Lewis', 'Pete Miller', 'Reed', ""Erin's Mother"", ""Erin's Father"", 'Pam Beesly', 'Dawn Tinsley', 'Kelly Kapoor', 'Michael Scott', 'Dwight Schrute', 'Ryan Howard', 'Charles Miner', 'Jim Halpert', 'Irene']","[5, 6, 7, 8, 9]"
Gabe Lewis,Main_Characters,"['Jo Bennett', 'Jan Levinson', 'David Wallace', 'Erin Hannon', 'Erin Hannon', 'Todd Packer', 'Robert California', 'David Wallace']","[6, 7, 8, 9]"
Jan Levinson,Main_Characters,"['Urkel Grue', 'Michael Scott', 'Clark Green', 'Astrid Levinson', 'Michael Scott', 'David Wallace', 'Carol Stills', 'Jim Halpert', 'Oscar Martinez', 'Dwight Schrute', 'Pam Beesly', 'Josh Porter', 'Martin Nash', 'Ryan Howard', 'Jasmine Windsong', 'Clark Green', 'Andy Bernard']","[1, 2, 3, 4, 5, 7, 9]"
Jim Halpert,Main_Characters,"['Karen Filippelli', 'Katy Moore', 'Cecelia Halpert', 'Phillip Halpert', 'Tom Halpert', 'Pete Halpert', 'Gerald Halpert', 'Betsy Halpert', 'William Beesly', 'Helene Beesly', 'Penny Beesly', 'Tim Canterbury', 'Dwight Schrute', 'Pam Beesly', 'Andy Bernard', 'Betsy Halpert', 'Toby Flenderson', 'Pam Beesly', 'Roy Anderson', 'Karen Filippelli', 'Charles Miner', 'Danny Cordray', 'Gabe Lewis', 'Todd Packer', 'Cathy Simms']","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
Karen Filippelli,Main_Characters,"['Jim Halpert', 'Jim Halpert', 'Josh Porter', 'Andy Bernard', 'Pam Beesly', 'Angela Martin', 'Phyllis Vance', 'Stanley Hudson', 'Nellie Bertram', 'Ryan Howard']","[3, 4, 5, 7]"
Kelly Kapoor,Main_Characters,"['Ryan Howard', 'Ravi', 'Darryl Philbin', 'Ryan Howard', 'Erin Hannon', 'Ravi', 'Alan', 'Jan Levinson', 'Darryl Philbin', 'Charles Miner', 'Angela Martin', 'Erin Hannon', 'Andy Bernard', 'Deangelo Vickers', 'Jordan Garfield', 'Ravi', 'Ravi', 'Robert California', 'Ryan Howard']","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
Kevin Malone,Main_Characters,"['Stacy', 'Lynn', 'Abby', 'Oscar Martinez', 'Angela Martin', 'Michael Scott', 'Stacy', 'Lynn', 'Angela Martin', 'Oscar Martinez', 'Stanley Hudson', 'Deangelo Vickers', 'Robert California']","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
Meredith Palmer,Main_Characters,"['Jake Palmer', 'Captain Jack', 'Bob Vance']","[1, 2, 3, 4, 5, 6, 7, 8, 9]"
